month,date,nav,daily_ret,idx_ret,in_market,regime,position_cap,invested_pct
2026-03 Mar,2026-03-03,5000.0,0.0,-1.5389742864218237,False,neutral,0,0.0
2026-03 Mar,2026-03-04,5000.0,0.0,-1.1441621548247571,False,correction,0,0.0
2026-03 Mar,2026-03-05,5000.0,0.0,0.9791586323022239,False,correction,0,0.0
2026-03 Mar,2026-03-06,5000.0,0.0,0.27426516214930086,False,correction,0,0.0
2026-03 Mar,2026-03-09,5000.0,0.0,-0.9652309578561225,False,correction,0,0.0
2026-03 Mar,2026-03-10,5000.0,0.0,1.2848354062600542,False,correction,0,0.0
2026-03 Mar,2026-03-11,5000.0,0.0,0.636182936606744,False,correction,0,0.0
2026-03 Mar,2026-03-12,5000.0,0.0,-0.3599960548377523,False,correction,0,0.0
2026-03 Mar,2026-03-13,5000.0,0.0,-0.3929549701763846,False,correction,0,0.0
2026-03 Mar,2026-03-16,5000.0,0.0,0.051808255910068546,False,neutral,0,0.0
2026-03 Mar,2026-03-17,5000.0,0.0,-0.7303771610291054,False,neutral,0,0.0
2026-03 Mar,2026-03-18,5000.0,0.0,0.4505288371448035,False,correction,0,0.0
2026-03 Mar,2026-03-19,5000.0,0.0,-1.6117571697337185,False,correction,0,0.0
2026-03 Mar,2026-03-20,5000.0,0.0,-0.3541809078315805,False,correction,0,0.0
2026-03 Mar,2026-03-23,5000.0,0.0,-3.2629825413431623,False,bear,0,0.0
2026-03 Mar,2026-03-24,5000.0,0.0,1.2839528863419103,False,bear,0,0.0
2026-03 Mar,2026-03-25,5000.0,0.0,1.4021876666304722,False,bear,0,0.0
2026-03 Mar,2026-03-26,5000.0,0.0,-1.320825324090602,False,bear,0,0.0
2026-03 Mar,2026-03-27,5000.0,0.0,0.5591470662199338,False,bear,0,0.0
2026-03 Mar,2026-03-30,5000.0,0.0,-0.2358652947094586,False,bear,0,0.0
2026-03 Mar,2026-03-31,5000.0,0.0,-0.9328020124890091,False,bear,0,0.0
2026-04 Apr,2026-04-01,5000.0,0.0,1.7082508529681295,False,neutral,0,0.0
2026-04 Apr,2026-04-02,5000.0,0.0,-1.0418095887665846,False,neutral,0,0.0
2026-04 Apr,2026-04-03,5000.0,0.0,-0.8512108069054225,False,bear,0,0.0
2026-04 Apr,2026-04-07,5000.0,0.0,-0.0038957041192388964,False,bear,0,0.0
2026-04 Apr,2026-04-08,5000.0,0.0,3.489155558598167,True,bear,80,80.0
2026-04 Apr,2026-04-09,4965.674259646958,-0.6865148070608451,-0.6382687970726386,True,correction,35,79.86174791757088
2026-04 Apr,2026-04-10,5024.23077609306,1.1792258892605156,1.5404850922775548,True,correction,50,80.09645566524675
2026-04 Apr,2026-04-13,5090.63529733807,1.3216853326281308,0.20681254186827314,True,correction,50,80.35608639018184
2026-04 Apr,2026-04-14,5189.680850417191,1.9456422881229285,1.1865510298300297,True,correction,50,80.73099235149283
2026-04 Apr,2026-04-15,5103.7258598750705,-1.656267370183484,-0.3411408457774434,True,correction,40,39.97079890278306
2026-04 Apr,2026-04-16,5152.9209136962,0.9639047074980089,1.0962498020381517,True,correction,50,40.54389905865148
2026-04 Apr,2026-04-17,5174.280967308205,0.41452321837951445,-0.1675460582763133,True,neutral,50,40.7893409880117
2026-04 Apr,2026-04-20,5175.924362867041,0.031760848883544135,0.6084160626915969,True,neutral,50,40.80814082495566
2026-04 Apr,2026-04-21,5187.9813644436335,0.23294392907073913,0.22186292549652986,True,neutral,50,40.94570422182639
2026-04 Apr,2026-04-22,5204.053181724031,0.309789418106754,0.6633812898791724,True,neutral,55,54.9955947808331
2026-04 Apr,2026-04-23,5115.742068718375,-1.6969679194631104,-0.2771048666906917,True,neutral,64,63.99853542303827
2026-04 Apr,2026-04-24,5186.773733209648,1.388491904734912,-0.3543009075644088,True,neutral,28,64.49156713881408
2026-04 Apr,2026-04-27,5205.974406164225,0.37018528168368814,0.03308613780985681,True,neutral,27,64.62252932827276
2026-04 Apr,2026-04-28,5165.858249387624,-0.7705792162385761,-0.26701197896351614,True,neutral,26,64.34780089181308
2026-04 Apr,2026-04-29,5310.48334348099,2.7996334222006647,1.095769667908586,True,bull,50,65.31874879187316
2026-04 Apr,2026-04-30,5359.2363392613415,0.9180519479493165,-0.06319710407586276,True,bull,55,55.026496562502004
